0	丝米 分 零点五
abbr	B超 七律 三自 上外 上汽 专列 世博 世界博览会 世贸 东伊运 东突 东突组织 丝路 中专 中共 中共中央组织部 中华航空公司 中南 中国教育和科研计算机网 中国教育网 中国文学艺术界联合会 中国文联 中国石油化工股份有限公司 中密度纤维板 中石化 中科院 中纪委 中行 乌 乌兹别克 乡医 书 云 五卅 五笔 亚美利加洲 交大 交通大学 京 京沪高铁 人流 人流手术 人社部 人资 以 企 伊 众 众包 低粉 体检 俄 俄期 俚 信报 健将 健美 光大 光盘驱动器 光耦 光驱 克 克国 入 全球卫星导航系统 全运会 八大元老 公交 公车 兰 共 内经 内贾德 军事体育 军体 农会 农工 刑拘 刑诉法 副 加州理工学院 动 劫 劳委会 劳改 勺 匈 化 化武 北二外 北外 北师大 北汽 北爱 医保 医大 华 华航 南盟 博讯 卢 卫 卫霍 印 印子 印支 厦 参 参院 双北 反 反右 发改委 叙 台大 台海 台湾大学 台盟 台胞证 台视 吉 同济 名优 吧 吹拍 周期表 哈 四个现代化 四化 四清 园 国中 国侦局 国保 国关 国大 国安局 国安部 国家汉办 国小 国民中学 国联 国语注音符号第一式 国贸 国防科学技术工业委员会 国际田径联合会 国际田联 国际米兰 国际米兰队 国际足联 地动仪 埃 城运会 墨 外企 外商独资企业 外资企业 多维 大外 大学入学指定科目考试 大方之家 天主 天外 天津环球金融中心 央财 女排 媒 嫌 孔子家语 学测 宁 守株缘木 定存 家电 宽甸 宾州 密件 富士康 小白 小资 少年先锋队 尺短寸长 屁精 屏保 山斗 山胞 岘 川 川外 工体 工校 工行 左联 巴 巴州 巴解组织 巴铁 市占率 师大 希神 平 平印 平板 广外 库工党 开 弗州 弥陀 强震 彩印 彩卷 役男 微整 德 德先生 德州 德航 总 总编 戈 手游 扬 拉美 拉黑 指考 捷 控卫 推甄 援交 搭铁 摩的 支书 支恐 政协 故宫 数模 文联 斗 斯 新 新农合 新型农村合作医疗 新马 新马泰 方 方家 无可奈何 日 日电 日经 易 春晚 春节联欢晚会 普尔热瓦尔斯基 普罗 普罗大众 暨大 服贸 朝 朝中社 朝战 朝鲜中央通讯社 期货 本位货币 本币 机器脚踏车 机踏车 杀软 权游 杭 枝晶 染指 柬 标准间 标普 标间 桂 梆子 梵 楚 模数 次级贷款 次贷 次贷危机 欧共体 欧氏 欧罗巴洲 死刑缓期执行 歼 比 毛概 民主进步党 民盟 民警 民进党 汉办 沙 沙俄 沙特 沧桑 沪深港 沽 法 注音一式 泰 泰姬玛哈陵 泰斗 津 津塔 活体组织检查 活检 浙 海协会 海峡交流基金会 清华 温网 港交所 港岛 港深 湖人 湘 滇 潮语 激打 爱优腾 物业 特 特区 特惠 特护 特警 特首 独联体 王杨卢骆 环保 环卫 环境卫生 环境影响评估 环法 环评 珍奶 班禅 班禅额尔德尼 琼 瓜田李下 瓦 甘 生技 生物技术 生米熟饭 甲亢 甲流 甲状腺功能亢进 电化教育 电邮 男排 男足 疾控中心 白俄 百科 皇马 皮黄 省港澳 石 研所 礼 社教 社维法 福 福委会 私企 科幻 科比 科考 稳胜 穗 空姐 立交 立方 竺 第二次汉字简化方案 管委会 篇韵 粤拼 精日 索 繁 红通 纵横 组合音响 组委 组织委员会 经 经合组织 经济合作与发展组织 统战部 统汉字 维 维族 维港 维生 网银 美国交会 美国联合通讯社 美宇航局 美洲 美联社 群众外包 联大 联通 肉搜 股指 背影杀手 背杀 脱欧 自贸区 艺校 艾 花旗 花旗银行 苏 苏共 苏维埃社会主义共和国联盟 苏联 英 荣军 荣辱观 莫霍洛维奇不连续面 菲 葡 葡糖 葡糖胺 蒙 藏 藏独 蚌 裸模 西 西外 警局 警政署 计生 论 证券委 诗 诺奖 谷梁 豫 贝克勒尔 贵 费城 费拉德尔菲亚 资工 赛先生 赣 赫 超级跑车 超跑 超马 越 轻型轨道交通 辅大 辣妹 达茂旗 达赖 远期 违建 迪厅 通用汉字标准交换码 道场 郑 鄂 里约 野火春风 野火烧不尽，春风吹又生 量 金菇 门冬 防长 阿 附中 陇海 陕 陵水 陵水县 难经 雪泥 雪莱 霸王之道 霸道 青 青旅 非 非国大 非洲 非遗 面的 顶冒 颠覆国家罪 颠覆政府罪 颠覆罪 飞行检查 马 马大哈 马恩列斯 驾校 骚 高中 高原反应 高反 高大上 高校 高级中学 鹬蚌相争 麻州 黎 黑 黔 齐眉
abbreviated	代字 略字 简约 缩略字 缩略语 缩语
abbreviation	略称 略语 省称 简称 简缩 约言 缩 缩写 缩略 缩称 缩约 节略
abby	阿比
abc	美国广播公司
abdomen	肚子 腹 腹部
abdominal	症 腹哀 腹壁 腹肌 腹腔 腹部绞痛
abduct	拐骗
abduction	绑架
abductor	诱拐者
abdullah	阿卜杜拉
abe	亚伯 安倍 安倍晋三
abel	亚伯
abelian	阿贝尔
aberdeen	阿伯丁
aberrant	异色树莺
aberration	像差 畸变
abhorrent	令人发指
abian	阿扁
abiding	不渝 观瞻
abidjan	阿比让
abijah	阿彼雅
abilene	亚比利尼
ability	两把刷子 具 判断力 力 劳动能力 定力 干才 手段 手腕 才 才分 才干 才智 才略 才能 才识 本事 本领 材 理解力 生育能力 眼力见 知觉力 笔头 笔底下 耐受力 能 能力 能耐 腿脚 解数 记忆力 话语权 谞 适存度 道行 酒力
abiu	黄晶果 黄金果
abiud	亚比玉
abject	卑怯 猥獕
abjunction	脱离
abkhazia	阿布哈兹
ablaze	万家灯火 炽盛
able	不为酒困 两栖 具备 可 可以 可读 嘴稳 够格 女强人 对答如流 应运而生 得以 得力 心眼大 急中生智 急智 敳 易孕 智能 有为有守 有能力 目无全牛 硬 称职 精明能干 纵横 耐劳 耐看 胜 能彀 见人说人话，见鬼说鬼话 认字 识字 识文断字 贤良
ablebodied	劳力 壮丁 壮年
ablet	阿不来提·阿不都热西提
abnormal	不对 不正常 不规范 乖 乖谬 反常 变态 吃错药 异动 异常 怪胎 畸 病脉 癍 神神道道 赘生 邪 邪僻 非正常
abnormality	畸态
abnormally	高血糖
abode	住宅
abolition	废止
abomb	原子弹
abominable	可恶
aboriginal	土著 土著人 生番
aborigine	原住民 土人
abortion	㱩 人工流产 人流 坠胎
abortive	未遂
abounding	百出
about	一年半载 不相上下 个把 临产 事关 光景 八九不离十 关乎 关于 内外 准 凉凉 即将 大概 天南地北 差不多 弥漫 待 快要 模样 百儿八十 约合 约莫 行 行将 行将结束 要 较略 那么
above	上 上边 之上 前头 前面 头上 尤其是 忘机 至上 超额 过头 逸尘 逸群 高
abovementioned	上边 上述 上面
abraham	亚伯拉罕 亚巴郎 林肯 马斯洛
abrasion	擦伤 磨蚀
abrasive	喷砂 研磨料 研磨材料 研磨盘 磨料 粗厉
abreast	与时俱进 并排 并肩 肩并肩
abridged	删简压缩 简本 简编 节本 节略本
abroad	国外 域外 外边 异地 海外
abrubtly	陡
abrupt	倏 匆猝 猛 突兀 突然 骤
abruptly	乍 勃 勃然 奄 猛然 猝 猝然 陡然 霍地 顿然 骤然
abs	资产担保证券
absalom	押沙龙
abscess	脓肿
abscissa	横坐标
abscission	脱离
absence	小别胜新婚 旷工 距离产生美
absent	开小差
absentminded	失神 少根筋 心不在焉 恍惚 漫不经心 神不守舍 神思恍惚 精神恍惚 走神 走神儿 跑神儿
absentmindedly	胡乱
absinthe	苦艾酒
absit	请别见怪
absolute	专制君主制 天条 对世权 无比较级 深信不疑 精诚 绝品 绝对 绝对值 绝对地址 绝对多数 绝对大多数 绝对数字 绝对权 绝对温度 绝对湿度 绝对观念 绝对零度 鸦雀无声
absolutely	一丝不挂 万万 万全 万无一失 不共戴天 依然如故 切 势在必行 十分 千真万确 压根 坚如磐石 天公地道 必不可少 悄然无声 文风不动 断 断然 根本 浑然 混账 百分之百 空空荡荡 端赖 纹风不动 绝 绝不 绝对连续 绝然 绝非 肆无忌惮 荒谬绝伦 贫无立锥 贫无立锥之地 这还了得
absolutism	专制主义
absorbability	吸附性
absorbed	吸收剂量 投入 沉溺
absorbent	吸水 吸湿性 吸附剂 脱脂棉
absorption	吸附性 暗星云
abstain	忌口
abstaining	烟酒不沾
abstemious	清心寡欲
abstention	白票
abstinence	戒绝
abstract	不名数 大要 抽象 抽象代数 抽象域 抽象思维 抽象词 提要 摘要 虚
abstracted	神思恍惚
abstraction	抽象
abstruse	沕 深奥 深邃 玄奥 玄妙 玄秘 玄远 眑 窕邃 艰深 艰深晦涩 邃密
absurd	不经之谈 丑剧 剌 妄 岂有此理 异说 悖谬 笑话 荒 荒唐 荒怪不经 荒诞不经 荒诞无稽 荒谬 见鬼 谬 迂见
abtruse	微
abu	曼苏尔 阿布扎比 阿布沙耶夫 阿布达比
abuja	阿布贾
abundance	丰度 优裕 充裕 大有 金玉满堂
abundant	丰 丰富 丰水 丰美 丰足 习习 五谷丰登 充沛 充畅 充盈 充裕 充足 博 奕 富 康 殷 沛 湑 盎 盎然 穰 纾 萋萋 蓁 蓬蓬 蕡 裕 遝 阜 雄厚 饶
abundantly	昭然若揭
abuse	奸官污吏 淫威 滥用权力 滥用职权 蠹弊 谇 贪官污吏 赃官污吏 辱骂
abuser	施虐者
abutment	基台 基牙 支座 桥台
abuzz	沸沸扬扬
abysmal	稀烂
abyss	九渊 奫 旋渊 水深火热 深处 深渊 深潭 渊海 潭府 苦海
abyssal	深成岩
abyssinia	阿比西尼亚
abyssinian	阿比西尼亚人
acacia	金合欢 阿拉伯胶
academia	中央研究院 中研院 学术界 学界 教育界
academic	名誉学位 学业有成 学位 学历 学年 学术 学术水平 学术界 学术自由 学界 学科 学衔 学门 学霸 学风 导师 授衔 教学楼 教育界 科目 课程
academician	学会院士 院士
academism	学院派
academy	专科院校 书院 学园 研究院 社科院 科学院 院校
acadia	阿卡迪亚大学
acanthopanax	五加
acanthorhodeus	兴凯刺鳑鲏 越南刺鳑鲏
acapulco	阿卡普尔科
accelerando	渐快
accelerated	速成
acceleration	加速度
accelerator	加速器 加速踏板 气门 油门 节流踏板
accent	乡音 口吻 口音 强调色 腔 腔子 腔调 调 重音
accented	板 重音节
accenture	埃森哲
acceptability	可接受性
acceptable	未尝不可 说得过去
acceptance	包容心 录取率 验收
accepted	公认 定论 成说 无争议 相沿成习
accepting	旷达 甘于
acceptor	受主 受体
access	准入 市场准入 接入点 接触 访问方式 进出口 进接 门径
accessibility	亲和力
accessible	可寻址 四通八达 无障碍 易取得 易接近 普惠 浅显
accession	即位
accessory	从犯 帮凶 配件 配件挂勾 附件 附属品 饰品
accident	事故 人身事故 变故 岔子 差错 意外 意外事故 海事 责任事故 长短 闪失
accidental	事故照射 偶 偶见 变化音 变音记号 无意 误伤 闪失
accidentally	一不小心 偶一 失手 无意中 误打误撞
accipiter	鹞
acclaim	追捧
acclaimed	驰誉
accommodating	圆融 圆通 好惹 浑圆 温良忍让 相通
accommodation	住宿 店钱
accompanied	偕同 携眷 辅以
accompaniment	佐餐
accompany	搭伴
accompanying	随同
accomplice	从犯 共犯 同伙 同党 同案犯 同犯 团伙 帮凶 爪牙 胁从犯
accomplished	停当 少年老成 彦 彧
accomplishing	醉翁之意不在酒
accomplishment	业绩 作为 修养 傲视群伦 功 名堂 成就 素养 绩 𪟝
accord	协定 洽 雅阁
according	一说 以 依 依据 依法 依照 如意 应景 应景儿 意中 所能 按 按季 按照 按理 按需 据 据估计 据信 据实 据悉 据报 据报导 据报道 据料 据理 据称 据统计 根据 正经 正规 比照 沿例 沿用 照 照理 照章 相传 规整 随俗 随地 随意 随机
accordingly	据此 相应 随之
accordion	手风琴
account	会计科目 叙述 口径 存款者 帐号 帐户 帐目 帐簿 抬头 登记名 簿册 簿籍 缘起 账 账号 账本
accountability	当责 问责性
accountancy	会计 会计学
accountant	会计 会计师 审计员
accountbook	簿
accounting	主计室 会计 会计准则理事会 会计制度 会计学 核算 财务软件
accounts	应付账款 应收账款 折 折子
accra	阿克拉
accretion	吸积
accrual	应计
accruals	应计基础
accrued	预提费用
accumulated	公积金 积习成俗 积分 积怨 积恶 积恶余殃 积愤 积水 积郁 累累
accumulation	堆积 积累 聚点
accumulative	堆垒
accumulator	电瓶 累加器 蓄电池
accuracy	准头 准确性 精密 精确度
accurate	不爽 丝毫不差 准 准确 灵验 界画 精准 精确 通灵
accusation	告发 指控 控罪 罪名
accusative	宾格
accuse	弹斥
accustomed	习以为常 忕 惯 狃
ace	幺点 王牌
aceh	亚齐 亚齐省
aceldama	血田
acenaphthene	苊
acer	宏碁 宏碁集团
acerbic	咸涩 尖刻 涩味
acerbity	涩
acesulfame	安赛蜜 醋磺内酯钾
acetabulum	腹吸盘
acetal	塑钢
acetaldehyde	乙醛
acetaminophen	对乙酰氨基酚
acetate	乙酸盐 醋酸
acetic	乙酸 醋酸
acetidin	醋酸乙酯
acetone	丙酮
acetyl	乙酰 乙酸基 乙酸根
acetylcholine	乙酰胆碱
acetylene	乙炔
achaemenid	阿契美尼德王朝
achaia	亚该亚
achang	阿昌
ache	痛
acheng	阿城区
acheron	阿克伦 阿克伦河
achievement	业绩 作为 功 功业 功勋 功名 功烈 吏治 成就 成果 成绩 绩效
achievements	功德 功罪 政绩 烈 造就
achieving	无成 毫无效果
achilles	死穴 罩门 致命伤 跟腱 阿喀琉斯 阿奇里斯
achim	亚金
aching	酸 酸软
achoo	哈啾 阿嚏
achoy	A菜
achyranthes	怸 牛膝
aciclovir	阿昔洛韦
acid	反酸 尖酸 樲 酰 酸式盐 酸根 酸溜溜 酸雨
acidamide	酰胺
acidity	酸性
acidresistant	耐酸
acipenser	鲟 鳣
acknowledgement	公证 致谢
acknowledgment	认可
aclass	正品
acme	竿头
acmite	𬬸
acne	挫疮 暗疮 疱 痘疱 痘痘 痤 痤疮 粉刺 酒刺 青春痘 青春豆 面疱
acolyte	庙祝
acorn	橡子 橡子面 橡实
acorus	水菖蒲 菖蒲
acoustic	原声 声像 声波定位
acoustics	声学 音响
acquaintance	熟人 相识
acquainted	熟
acquiescence	默许
acquiescent	和顺
acquired	习得性 后天 后天性 获得性
acquisition	习得 并购
acre	英亩 阿卡
acrid	刺鼻 酸不溜丢 酸涩
acridine	吖啶
acridoidea	蝗科
acrimonious	尖刻
acrimony	刻薄
acrobat	杂技演员
acrobatic	武打 解
acrobatics	把戏 杂戏 杂技
acrolein	丙烯醛
acronym	ACG 喜大普奔 缩略语 缩语 芨 首字母缩写
acrophobia	恐高症 惧高症
acropolis	卫城
across	对过 对面 拦腰 横 满世界 满脸 满面 通盘
acrosstheboard	全场
acrylic	丙烯酸 丙烯酸酯 亚克力 压克力 腈 腈纶
acrylonitrile	丙烯腈
act	不可抗力 不可抗拒 举 举动 举措 便宜行事 幕 惠 玩意 节目 行径
actin	肌动蛋白
acting	假令 假吏 合心 放羊 演技
actinic	光化性角化病
actinium	锕
actinoids	锕系元素
action	举动 作用 作用力 动作 动作片 手办 手脚 武打片 玩偶 行为 行事 行动 行动值 行动纲领 行动计划 超距作用 身教胜于言教 运动相机
actions	擦边球
activated	活性 活性氧类 活性炭
activation	活化 活化分析
active	主动 主动免疫 好动 实职 有源区 活动桌面 活性 活泼 活火山 活跃 活跃分子 热络 现役 积极 积极分子 积极反应 能动性 自动免疫
activism	行动主义
activist	斗士 活动人士 活动家 活跃分子 运动家
activities	运作
activity	举动 事业 作为 作用 动静 活动 活动中心 活度 活性 积极性 行为
actor	优伶 伶 伶人 头套 戏份 戏子 戏词 演员 绿叶 艺人 行头
actress	优伶 伶 伶人 女优 演员 脱星
acts	使徒行传
actual	净高 婚龄 实事 实例 实参 实战 实控人 实效 实数 实相 实证 实践是检验真理的唯一标准 实际 实际参数 实际情况 实际控制人 本罪 现实 现货 自罪
actuality	现实
actually	事实上 倒是 其实 却是 委 实付 实则 实在 所 敢情 竟 竟然
actuals	现货
actuarial	精算
actuary	公证人 精算师
actuating	重臂
actuator	重臂
acumen	慧眼
acupoint	穴道
acupressure	指压
acupuncture	会阴穴 俞穴 命门 四渎 天井 毫针 涌泉穴 百会穴 砭灸术 穴 穴位 穴脉 穴道 经穴 腧 腧穴 腹哀 膻中穴 金针 针具 针刺麻醉 针灸 针麻 间使
acura	讴歌
acute	剧 剧烈 剧痛 危机感 天行赤眼 尖 尖锐 急性 急性照射 急性病 急性肠炎 急性阑尾炎 急症 敏锐 激烈 痛感 登高望远 聪 聪明 重症 锐 锐利 锐意 锐敏 锐气 锐角 高原反应 高山病 高山症 高瞻远瞩
acyl	酰 醯
ad	临时 公元 单团 广告位 广子 特设 西元
adage	成语
adagio	慢板
adam	亚当 亚当·斯密 喉结 阿丹
adams	亚当斯
adamstown	亚当斯敦
adansonia	猴面包树
adaptability	应变力 适应性
adaptable	机动 机变 活泛 见人说人话，见鬼说鬼话
adaptation	本地化 调适 适配 适配层
adapted	人性化 漫改
adapter	适配器 配接卡
adaptive	自适应 调适
adblocker	广告拦截器
add	增删 多放 救焚益薪
added	额外
addedvalue	附加值
addend	加数 被加数
addendum	后附 续增 补遗 追加
adder	黄颔蛇
adderall	阿得拉 阿得拉尔
addict	中毒者
addicted	嗜 沉溺 溺 酖
addiction	嗜好 成瘾 痼癖 瘾 瘾头
addictiveness	成瘾性
addis	亚的斯亚贝巴 阿迪斯阿贝巴
addison	艾迪生 阿狄森氏病
addition	加减乘除 加法 续增 补足音程
additional	加官 另外 增刊 新增 格外 水 补充 补票处 追肥 追补 附则 附加 附加元件 附加赛 额外
additionality	额外性
additionally	附带
additive	助剂 堆垒数论 外加剂 添加剂 添加物
addon	外加附件 外挂 外搭程式 资料片 附加元件
address	住址 地址 地址解析协议 电话本 通讯录
addressable	可寻址
addressee	上款
adductor	江珧柱 闭壳肌
adelaide	阿得莱德 阿德莱德 阿德雷德
adeline	爱德玲
aden	亚丁 阿丹
adenine	腺嘌呤
adenocarcinoma	腺癌
adenoid	腺样
adenosine	三磷酸腺苷 二磷酸腺苷 腺嘌呤核苷三磷酸 腺苷
adenosis	腺病
adenovirus	腺病毒
adept	健将 内行 娴熟 精于
adequate	充分 充足 够用 妥 当
adequately	温饱
adhered	一以贯之
adherence	迂腐 黏附力
adherent	印度教徒 宗教徒 教民 新教徒 追随者 遗老
adherents	教众
adhesion	沾黏 粘连 黏着力
adhesive	五十肩 橡皮膏 肩周炎 胶布 胶带 胶黏 胶黏剂 黏着力 黏胶 黏附力
adiabatic	绝热
adidas	阿迪达斯
adjacent	挨 旁边 毗邻 相邻 邻 邻座 邻接 邻近
adjectival	形容词短语
adjective	形容词 形容辞
adjoin	堧
adjoining	守
adjoint	伴矩阵
adjudication	裁决
adjudicator	评委
adjunct	修饰语 兼任 附属品
adjustable	伸缩 可调 活动扳手
adjustment	调整 调适
adlay	薏苡
administration	幕府 文职 施政 服法 管理 行政 行政管理 行政部门
administrative	州 政区 施政报告 旗 科 科室 管委会 管理委员会 苏木 行政 行政公署 行政区 行政区划 行政区域 行政区画 行政单位 行政拘留 行政救济 行政机关 行政权 行政法 行政管理 行政部门 行署 辖区
administrator	官员 干事 管家 管理人 管理员 行政员
admirable	令人钦佩 好人好事 淑
admiral	上将
admiralty	金钟
admissibility	可采性
admission	入场券 入场费 入联 准考证 凭票入场 录取率 录取通知书 甄试 票价
admissions	招办 招生官
admittance	准入
admittedly	固 固然
admonishment	黄牌
admonition	砭针 箴言 训词
adnexa	附件
adobe	土坯 土墼 干打垒
adolescence	豆蔻年华 青年期 青春期
adolescent	半大不小 半大小子 青少年
adolf	希特勒
adolph	越飞
adolphe	梯也尔
adonis	男神 阿多尼斯
adopted	中正 义 义女 义子 假子 养女 养子 嗣子 契子 寄名 干儿 干儿子 干女儿 继子女 螟蛉 螟蛉子
adopting	中体西用
adoption	承继 收养
adoptive	义母 义父 义父母 养母 养父 契妈 干 干妈 干娘 干爹
adorable	卡哇伊 可爱 憨态可掬 萌 萌萌哒
adoration	崇拜
adoring	深情款款
adorned	绚 缛
adornment	妆 装
adou	阿斗
adrenal	副肾 肾上腺 肾上腺皮质 肾上腺髓质
adrenaline	肾上腺素
adriatic	亚得里亚海
adroit	伶俐 策略
adsorption	吸附
adulation	吹捧 追捧
adult	A片 中卷 人丁 大人 女优 巨婴 恒牙 情趣商店 情趣用品 成人用品 成体 成年 成年人 成年者 成教 男丁 黄片
adulteration	混杂物
adulterer	毐
adulterous	奸夫淫妇 暧昧关系 淫行
adultery	奸 奸情 私通 通奸
adultlike	超龄
adults	啃老族 大小
advance	先遣队 垫款 安民告示 定金 豫告 预告 预购
advanced	先进 先进个人 先进武器 先进水平 前卫 大学入学指定科目考试 快班 指考 深度 积年 精密陶瓷 老境 超前 进阶 遐龄 高教机 高数 高段 高等 高级 高级小学
advancement	晋级
advancing	前仆后继 推陈布新
advantage	优势 优点 利 好处 好康 妙处 实利 本钱 益 裨益
advantageous	主动权 占便宜 实惠 形胜 有利 裨
advantages	优缺点 利害 利弊 成败利钝
advantech	研华
advent	到来 耶稣降临节 降临节
adventitious	不定
adventure	冒险 奇遇 探险
adventurer	冒险家 冒险者 探险者
adventures	哈克贝利·芬历险记 妙妙熊历险记 汤姆·索亚历险记 汤姆索亚历险记
adventurism	冒险主义
adventurous	心猿意马
adverb	副词
adverbial	攸 状语
adversarial	敌对性
adversary	对头 对手 对抗者
adverse	不顺 倒彩 差评 空调病 贸易逆差 逆差 逆流
adversity	不幸 厄运 灾厄 逆商 逆境 霜雪
advertisement	广告 广子 强打
advertiser	广告主
advertising	宣传册 宣传画 广告商 广告宣传 广告栏 广告片
advertorial	业配文 软文
advice	劝告 处方 建言 忠告 点津 谏言
adviser	参议 指导教授 顾问
advising	指导教授
advisor	咨询员 谋士
advocate	倡导者 力主 推手 提倡者 鼓吹者
adz	锛
adze	锛
aed	自动体外除颤器
aedes	伊蚊 白线斑蚊 黑斑蚊
aegadian	埃加迪群岛
aegean	爱琴海
aegis	宙斯盾战斗系统
aegyptiidae	鹫科
aeneas	伊尼亚斯 埃涅阿斯
aeneid	伊尼伊德
aeolus	埃奥罗斯
aeration	通气
aerial	侧空翻 升降机 天线 架空索道 气根 气生根 空拍 航拍 踺子
aerobic	健美操 好氧
aerobics	健美操 有氧健身操 有氧操 有氧运动
aerodramus	金丝燕
aerodrome	航空港
aerodynamic	气动噪声 空气动力
aerodynamics	空气动力学
aerogel	气凝胶
aerogram	航空邮简
aerolite	陨石
aeronautics	航空术
aerophone	气鸣乐器
aerosol	气溶胶 气胶 气雾免疫 气雾剂 浮质 烟雾剂
aerostat	气囊
aeschylus	埃斯库罗斯
aesop	伊索
aesthetic	医美 审美眼光 美感
aestheticism	爱漂亮
aesthetics	唯美 美学
afar	阿法尔 阿法尔沙漠
affable	亲和 仁义 口甜 和悦 和蔼可亲 顺和
affair	事 事情 务 暧昧关系 物事 縡 艳遇
